"id"	"id2"	"id3"	"sex"	"weight"	"TL"	"radmm"	"date"	"area"	"age"	"agei"	"ecotype"
"BH-01850"	8	38	"f"	NA	910	0.6717	"14.2.2020"	"BEG"	6	2	3
"BH-01850"	8	38	"f"	NA	910	0.8472	"14.2.2020"	"BEG"	6	3	3
"BH-01850"	8	38	"f"	NA	910	0.9966	"14.2.2020"	"BEG"	6	4	3
"BH-01850"	8	38	"f"	NA	910	1.1667	"14.2.2020"	"BEG"	6	5	3
"BH-01850"	8	38	"f"	NA	910	1.3578	"14.2.2020"	"BEG"	6	6	3
"BH-01855"	20	39	"m"	2500	722	0.3956	"1.5.2020"	"SB"	7	1	1
"BH-01855"	20	39	"m"	2500	722	0.6382	"1.5.2020"	"SB"	7	2	1
"BH-01855"	20	39	"m"	2500	722	0.7569	"1.5.2020"	"SB"	7	3	1
"BH-01855"	20	39	"m"	2500	722	0.936	"1.5.2020"	"SB"	7	4	1
"BH-01855"	20	39	"m"	2500	722	1.0582	"1.5.2020"	"SB"	7	5	1
"BH-01855"	20	39	"m"	2500	722	1.2384	"1.5.2020"	"SB"	7	6	1
"BH-01855"	20	39	"m"	2500	722	1.3728	"1.5.2020"	"SB"	7	7	1
"BH-01860"	21	40	"f"	7900	940	0.4054	"27.2.2020"	"KB"	7	1	1
"BH-01860"	21	40	"f"	7900	940	0.6838	"27.2.2020"	"KB"	7	2	1
"BH-01860"	21	40	"f"	7900	940	0.8999	"27.2.2020"	"KB"	7	3	1
"BH-01860"	21	40	"f"	7900	940	1.1034	"27.2.2020"	"KB"	7	4	1
"BH-01860"	21	40	"f"	7900	940	1.2465	"27.2.2020"	"KB"	7	5	1
"BH-01860"	21	40	"f"	7900	940	1.3643	"27.2.2020"	"KB"	7	6	1
"BH-01860"	21	40	"f"	7900	940	1.4754	"27.2.2020"	"KB"	7	7	1
"BH-01867"	12	41	"f"	4800	820	0.3706	"23.11.2019"	"SB"	7	1	2
"BH-01867"	12	41	"f"	4800	820	0.5414	"23.11.2019"	"SB"	7	2	2
"BH-01867"	12	41	"f"	4800	820	0.7095	"23.11.2019"	"SB"	7	3	2
"BH-01867"	12	41	"f"	4800	820	0.8266	"23.11.2019"	"SB"	7	4	2
"BH-01867"	12	41	"f"	4800	820	1.0334	"23.11.2019"	"SB"	7	5	2
"BH-01867"	12	41	"f"	4800	820	1.182	"23.11.2019"	"SB"	7	6	2
"BH-01867"	12	41	"f"	4800	820	1.2638	"23.11.2019"	"SB"	7	7	2
"BH-01868"	22	42	"f"	8700	1010	0.2649	"8.1.2020"	"SB"	9	1	1
"BH-01868"	22	42	"f"	8700	1010	0.4823	"8.1.2020"	"SB"	9	2	1
"BH-01868"	22	42	"f"	8700	1010	0.6329	"8.1.2020"	"SB"	9	3	1
"BH-01868"	22	42	"f"	8700	1010	0.7626	"8.1.2020"	"SB"	9	4	1
"BH-01868"	22	42	"f"	8700	1010	0.9253	"8.1.2020"	"SB"	9	5	1
"BH-01868"	22	42	"f"	8700	1010	1.1007	"8.1.2020"	"SB"	9	6	1
"BH-01868"	22	42	"f"	8700	1010	1.2476	"8.1.2020"	"SB"	9	7	1
"BH-01868"	22	42	"f"	8700	1010	1.3332	"8.1.2020"	"SB"	9	8	1
"BH-01868"	22	42	"f"	8700	1010	1.4215	"8.1.2020"	"SB"	9	9	1
"BH-01869"	23	43	"f"	3300	730	0.4407	"17.12.2019"	"SB"	4	1	1
"BH-01869"	23	43	"f"	3300	730	0.7224	"17.12.2019"	"SB"	4	2	1
"BH-01869"	23	43	"f"	3300	730	0.9233	"17.12.2019"	"SB"	4	3	1
