"ID"	"waterbody"	"capt"	"clust"	"age"	"cohort"	"weight"	"TL"	"sex"	"lifeyear"	"year"	"inc"	"rad"	"d18O_mean"	"d18O_max"	"d18O_min"	"res_mean"	"res_max"	"res_min"	"Sr_mean"	"Sr_max"	"Sr_min"	"type"	"turbidity"	"SAL"	"WT"	"P"
"BH-01855"	"WRB"	"SB"	"HighS|Tconstant"	7	2013	2500	722	"m"	"5"	2018	122.2	1058.2	-5.66907784285714	-5.5263478	-5.76746457142857	-0.371146340253765	-0.262434139076693	-0.462520474955941	0.00541189153439153	0.00589738095238096	0.00485738095238095	"Coast"	1.52413793103448	7.70904255319149	12.055	1.708125
"BH-01855"	"WRB"	"SB"	"HighS|Tconstant"	7	2013	2500	722	"m"	"6"	2019	180.2	1238.4	-5.80557210714286	-5.74113572857143	-5.87000848571429	-0.663013401033258	-0.619096172756008	-0.706930629310509	0.00596332010582011	0.00616164021164021	0.005765	"Coast"	2.025	9.2575	11.66625	1.20625
"BH-01855"	"WRB"	"SB"	"HighS|Tconstant"	7	2013	2500	722	"m"	"7"	2020	134.4	1372.8	-5.92682335714286	-5.92682335714286	-5.92682335714286	-0.786177194541095	-0.786177194541095	-0.786177194541095	0.00586387125220459	0.00650428571428572	0.00541891534391534	"Coast"	2.11290322580645	9.26891891891892	10.6743243243243	1.17810810810811
"BH-01860"	"WRB"	"KB"	"HighS|Tconstant"	7	2013	7900	940	"f"	"1"	2014	405.4	405.4	-6.28637916470588	-5.58316267142857	-6.92039074285714	0.308929356423776	0.954419069249085	-0.460971789099306	0.00337890167661268	0.00426333333333333	0.00290835748792271	"Coast"	1.84642857142857	7.90444444444444	13.0943333333333	1.33588888888889
"BH-01860"	"WRB"	"KB"	"HighS|Tconstant"	7	2013	7900	940	"f"	"2"	2015	278.4	683.8	-6.28275763877551	-6.15546857142857	-6.418757	-0.0526130207334288	0.230294545678659	-0.351163541622773	0.00374409247757074	0.00407927536231884	0.00338053140096618	"Coast"	1.846875	9.388	11.0185	1.2695
"BH-01860"	"WRB"	"KB"	"HighS|Tconstant"	7	2013	7900	940	"f"	"3"	2016	216.1	899.9	-6.1297336122449	-5.89633732857143	-6.38827097142857	-0.182538836927462	0.0199355459269681	-0.374918556167801	0.00443584195997239	0.00467202898550725	0.00416067632850241	"Coast"	2.27333333333333	8.75531914893617	11.7181914893617	1.17670212765957
"BH-01860"	"WRB"	"KB"	"HighS|Tconstant"	7	2013	7900	940	"f"	"4"	2017	203.5	1103.4	-6.23279222571428	-6.15408284285714	-6.3993568	-0.54685782897018	-0.344936203672412	-0.694335878231088	0.0046631884057971	0.00532570048309179	0.00426207729468599	"Coast"	1.97058823529412	8.85	11.3964285714286	1.6125
"BH-01860"	"WRB"	"KB"	"HighS|Tconstant"	7	2013	7900	940	"f"	"5"	2018	143.1	1246.5	-6.68841978	-6.53654392857143	-6.79983235714286	-1.36609394418536	-1.14989123995173	-1.55086486843259	0.00540151690821256	0.00584188405797101	0.00438386473429952	"Coast"	1.52413793103448	7.70904255319149	12.055	1.708125
"BH-01867"	"WRB"	"SB"	"IntS|Tcold"	7	2013	4800	820	"f"	"1"	2014	370.6	370.6	-6.51192686806723	-5.22703042857143	-8.03728797142857	-0.0511441581469798	1.10365261757459	-1.51126012833164	0.00343593464052288	0.00424733333333333	0.00298691358024691	"Coast"	1.84642857142857	7.90444444444444	13.0943333333333	1.33588888888889
"BH-01867"	"WRB"	"SB"	"IntS|Tcold"	7	2013	4800	820	"f"	"2"	2015	170.8	541.4	-5.23446297272727	-5.060743	-5.46260428571429	0.940293047678657	1.25924368252869	0.597979915963701	0.00411421324354658	0.0054957037037037	0.00350782716049383	"Coast"	1.846875	9.388	11.0185	1.2695
"BH-01867"	"WRB"	"SB"	"IntS|Tcold"	7	2013	4800	820	"f"	"3"	2016	168.1	709.5	-5.26721655714286	-5.00808531428572	-5.47507584285714	0.504600865898239	0.69686942495177	0.39484052952027	0.00437259259259259	0.00470782716049383	0.00401518518518519	"Coast"	2.27333333333333	8.75531914893617	11.7181914893617	1.17670212765957
"BH-01867"	"WRB"	"SB"	"IntS|Tcold"	7	2013	4800	820	"f"	"4"	2017	117.1	826.6	-5.42796107142857	-5.23257334285714	-5.54159081428571	0.0899945228681595	0.294074829503395	-0.083157871948857	0.00512633950617284	0.00575866666666667	0.00464088888888889	"Coast"	1.97058823529412	8.85	11.3964285714286	1.6125
"BH-01867"	"WRB"	"SB"	"IntS|Tcold"	7	2013	4800	820	"f"	"5"	2018	206.8	1033.4	-5.42611343333334	-5.25890218571429	-5.5263478	0.0505143564487845	0.201572252557889	-0.0753017942973066	0.00545539753086419	0.00599259259259259	0.0046735061728395	"Coast"	1.52413793103448	7.70904255319149	12.055	1.708125
"BH-01868"	"WRB"	"SB"	"HighS|Tconstant"	9	2011	8700	1010	"f"	"1"	2012	264.9	264.9	-7.03977658901099	-6.88020461428571	-7.4275674	-0.86624763345563	-0.681311555652965	-1.17901685850651	0.00410649572649573	0.00560529411764706	0.00314335511982571	"Coast"	2.003125	9.07156862745098	11.4758823529412	1.19147058823529
