"ID"	"ID2"	"sex"	"weight_g"	"TL_mm"	"rad_mm"	"area"	"age"	"lifeyear"	"ecotype_char"	"ecotype_num"
"BH-01598"	37	"f"	NA	750	0.5361	"NRB"	4	1	"BW-resident"	1
"BH-01598"	37	"f"	NA	750	0.7746	"NRB"	4	2	"BW-resident"	1
"BH-01598"	37	"f"	NA	750	0.9859	"NRB"	4	3	"BW-resident"	1
"BH-01598"	37	"f"	NA	750	1.2808	"NRB"	4	4	"BW-resident"	1
"BH-01713"	38	"f"	7200	980	0.6561	"WRB"	7	1	"BW-resident"	1
"BH-01713"	38	"f"	7200	980	0.8891	"WRB"	7	2	"BW-resident"	1
"BH-01713"	38	"f"	7200	980	1.0714	"WRB"	7	3	"BW-resident"	1
"BH-01713"	38	"f"	7200	980	1.2495	"WRB"	7	4	"BW-resident"	1
"BH-01713"	38	"f"	7200	980	1.4166	"WRB"	7	5	"BW-resident"	1
"BH-01713"	38	"f"	7200	980	1.5406	"WRB"	7	6	"BW-resident"	1
"BH-01713"	38	"f"	7200	980	1.6494	"WRB"	7	7	"BW-resident"	1
"BH-01717"	39	"f"	NA	1040	0.4454	"NRB"	13	1	"BW-resident"	1
"BH-01717"	39	"f"	NA	1040	0.648	"NRB"	13	2	"BW-resident"	1
"BH-01717"	39	"f"	NA	1040	0.777	"NRB"	13	3	"BW-resident"	1
"BH-01717"	39	"f"	NA	1040	0.9056	"NRB"	13	4	"BW-resident"	1
"BH-01717"	39	"f"	NA	1040	1.0426	"NRB"	13	5	"BW-resident"	1
"BH-01717"	39	"f"	NA	1040	1.2069	"NRB"	13	6	"BW-resident"	1
"BH-01717"	39	"f"	NA	1040	1.3411	"NRB"	13	7	"BW-resident"	1
"BH-01717"	39	"f"	NA	1040	1.4479	"NRB"	13	8	"BW-resident"	1
"BH-01717"	39	"f"	NA	1040	1.5219	"NRB"	13	9	"BW-resident"	1
"BH-01717"	39	"f"	NA	1040	1.5931	"NRB"	13	10	"BW-resident"	1
"BH-01717"	39	"f"	NA	1040	1.73	"NRB"	13	11	"BW-resident"	1
"BH-01717"	39	"f"	NA	1040	1.8315	"NRB"	13	12	"BW-resident"	1
"BH-01717"	39	"f"	NA	1040	1.9548	"NRB"	13	13	"BW-resident"	1
"BH-01719"	40	"f"	1400	550	0.595	"WRB"	1	1	"Trans-habitat"	4
"BH-01722"	41	"f"	NA	950	0.4057	"NRB"	13	1	"BW-resident"	1
"BH-01722"	41	"f"	NA	950	0.5993	"NRB"	13	2	"BW-resident"	1
"BH-01722"	41	"f"	NA	950	0.7408	"NRB"	13	3	"BW-resident"	1
"BH-01722"	41	"f"	NA	950	0.8981	"NRB"	13	4	"BW-resident"	1
"BH-01722"	41	"f"	NA	950	1.0574	"NRB"	13	5	"BW-resident"	1
"BH-01722"	41	"f"	NA	950	1.1532	"NRB"	13	6	"BW-resident"	1
"BH-01722"	41	"f"	NA	950	1.3213	"NRB"	13	7	"BW-resident"	1
"BH-01722"	41	"f"	NA	950	1.4298	"NRB"	13	8	"BW-resident"	1
"BH-01722"	41	"f"	NA	950	1.5419	"NRB"	13	9	"BW-resident"	1
"BH-01722"	41	"f"	NA	950	1.642	"NRB"	13	10	"BW-resident"	1
"BH-01722"	41	"f"	NA	950	1.7449	"NRB"	13	11	"BW-resident"	1
"BH-01722"	41	"f"	NA	950	1.8228	"NRB"	13	12	"BW-resident"	1
"BH-01722"	41	"f"	NA	950	1.8973	"NRB"	13	13	"BW-resident"	1
"BH-01731"	42	"m"	6800	950	0.4621	"WRB"	9	1	"BW-resident"	1
"BH-01731"	42	"m"	6800	950	0.664	"WRB"	9	2	"BW-resident"	1
"BH-01731"	42	"m"	6800	950	0.821	"WRB"	9	3	"BW-resident"	1
"BH-01731"	42	"m"	6800	950	0.969	"WRB"	9	4	"BW-resident"	1
"BH-01731"	42	"m"	6800	950	1.0935	"WRB"	9	5	"BW-resident"	1
"BH-01731"	42	"m"	6800	950	1.2575	"WRB"	9	6	"BW-resident"	1
"BH-01731"	42	"m"	6800	950	1.419	"WRB"	9	7	"BW-resident"	1
"BH-01731"	42	"m"	6800	950	1.5741	"WRB"	9	8	"BW-resident"	1
"BH-01731"	42	"m"	6800	950	1.7525	"WRB"	9	9	"BW-resident"	1
"BH-01737"	43	"f"	11500	1130	0.4306	"WRB"	8	1	"BW-resident"	1
"BH-01737"	43	"f"	11500	1130	0.6247	"WRB"	8	2	"BW-resident"	1
"BH-01737"	43	"f"	11500	1130	0.8738	"WRB"	8	3	"BW-resident"	1
"BH-01737"	43	"f"	11500	1130	1.0375	"WRB"	8	4	"BW-resident"	1
"BH-01737"	43	"f"	11500	1130	1.1814	"WRB"	8	5	"BW-resident"	1
"BH-01737"	43	"f"	11500	1130	1.302	"WRB"	8	6	"BW-resident"	1
"BH-01737"	43	"f"	11500	1130	1.3968	"WRB"	8	7	"BW-resident"	1
"BH-01737"	43	"f"	11500	1130	1.444	"WRB"	8	8	"BW-resident"	1
"BH-01738"	44	"f"	5400	860	0.4309	"WRB"	7	1	"BW-resident"	1
"BH-01738"	44	"f"	5400	860	0.6311	"WRB"	7	2	"BW-resident"	1
"BH-01738"	44	"f"	5400	860	0.8812	"WRB"	7	3	"BW-resident"	1
"BH-01738"	44	"f"	5400	860	1.0397	"WRB"	7	4	"BW-resident"	1
"BH-01738"	44	"f"	5400	860	1.1706	"WRB"	7	5	"BW-resident"	1
"BH-01738"	44	"f"	5400	860	1.2837	"WRB"	7	6	"BW-resident"	1
"BH-01738"	44	"f"	5400	860	1.4018	"WRB"	7	7	"BW-resident"	1
"BH-01758"	45	"m"	2580	682	0.4351	"WRB"	7	1	"BW-resident"	1
"BH-01758"	45	"m"	2580	682	0.8236	"WRB"	7	2	"BW-resident"	1
"BH-01758"	45	"m"	2580	682	0.9712	"WRB"	7	3	"BW-resident"	1
"BH-01758"	45	"m"	2580	682	1.1032	"WRB"	7	4	"BW-resident"	1
"BH-01758"	45	"m"	2580	682	1.2433	"WRB"	7	5	"BW-resident"	1
"BH-01758"	45	"m"	2580	682	1.3504	"WRB"	7	6	"BW-resident"	1
"BH-01758"	45	"m"	2580	682	1.43	"WRB"	7	7	"BW-resident"	1
"BH-01789"	46	"m"	1700	600	0.3181	"WRB"	3	1	"Trans-habitat"	4
"BH-01789"	46	"m"	1700	600	0.5433	"WRB"	3	2	"Trans-habitat"	4
"BH-01789"	46	"m"	1700	600	0.7978	"WRB"	3	3	"Trans-habitat"	4
"BH-01802"	47	"m"	1980	638	0.4502	"WRB"	3	1	"BW-resident"	1
"BH-01802"	47	"m"	1980	638	0.6682	"WRB"	3	2	"BW-resident"	1
"BH-01802"	47	"m"	1980	638	0.8264	"WRB"	3	3	"BW-resident"	1
"BH-01803"	48	"m"	1900	600	0.3141	"WRB"	4	1	"BW-resident"	1
"BH-01803"	48	"m"	1900	600	0.5001	"WRB"	4	2	"BW-resident"	1
"BH-01803"	48	"m"	1900	600	0.7067	"WRB"	4	3	"BW-resident"	1
"BH-01803"	48	"m"	1900	600	0.9099	"WRB"	4	4	"BW-resident"	1
"BH-01809"	49	"m"	900	520	0.4117	"WRB"	3	1	"BW-resident"	1
"BH-01809"	49	"m"	900	520	0.5322	"WRB"	3	2	"BW-resident"	1
"BH-01809"	49	"m"	900	520	0.7607	"WRB"	3	3	"BW-resident"	1
"BH-01812"	50	"f"	8900	1020	0.4215	"WRB"	7	1	"BW-resident"	1
"BH-01812"	50	"f"	8900	1020	0.6332	"WRB"	7	2	"BW-resident"	1
"BH-01812"	50	"f"	8900	1020	0.8462	"WRB"	7	3	"BW-resident"	1
"BH-01812"	50	"f"	8900	1020	1.1385	"WRB"	7	4	"BW-resident"	1
"BH-01812"	50	"f"	8900	1020	1.2723	"WRB"	7	5	"BW-resident"	1
"BH-01812"	50	"f"	8900	1020	1.4113	"WRB"	7	6	"BW-resident"	1
"BH-01812"	50	"f"	8900	1020	1.5243	"WRB"	7	7	"BW-resident"	1
