"ID"	"waterbody"	"TL_mm"	"clust"	"ecotype"	"sex"	"lifeyear"	"inc_um"	"res_mean"	"Sr_mean"
"BH-01722"	"NRB"	950	"BW high saline|cold"	"BW-resident"	"f"	9	112.1	2.05307085845317	1.02465139947967
"BH-01722"	"NRB"	950	"BW high saline|cold"	"BW-resident"	"f"	10	100.1	2.21128995203197	1.03988724516393
"BH-01722"	"NRB"	950	"BW high saline|cold"	"BW-resident"	"f"	11	102.9	1.41482691399503	0.882093835874239
"BH-01722"	"NRB"	950	"BW high saline|cold"	"BW-resident"	"f"	12	77.9	1.55007124848801	1.00814974681064
"BH-01722"	"NRB"	950	"BW high saline|cold"	"BW-resident"	"f"	13	74.5	1.07647187672589	0.905359416845775
"BH-01731"	"WRB"	950	"BW high saline|cold"	"BW-resident"	"m"	1	462.1	-0.334999226518663	0.245693065898882
"BH-01731"	"WRB"	950	"BW high saline|cold"	"BW-resident"	"m"	2	201.9	0.229472139009624	0.474162536849063
"BH-01731"	"WRB"	950	"BW high saline|cold"	"BW-resident"	"m"	3	157	-0.243169807084327	1.16107566715339
"BH-01731"	"WRB"	950	"BW high saline|cold"	"BW-resident"	"m"	4	148	-1.04334169047665	1.72027809450435
"BH-01731"	"WRB"	950	"BW high saline|cold"	"BW-resident"	"m"	5	124.5	-0.630884207639938	1.57655380819619
"BH-01731"	"WRB"	950	"BW high saline|cold"	"BW-resident"	"m"	6	164	-1.00690274599566	1.5890282869115
"BH-01731"	"WRB"	950	"BW high saline|cold"	"BW-resident"	"m"	7	161.5	-0.166485338282706	1.26417001051242
"BH-01731"	"WRB"	950	"BW high saline|cold"	"BW-resident"	"m"	8	155.1	-0.186393212299176	1.27979743981451
"BH-01737"	"WRB"	1130	"BW high saline|warm"	"BW-resident"	"f"	1	430.6	0.677268617515624	0.55071808670248
"BH-01737"	"WRB"	1130	"BW high saline|warm"	"BW-resident"	"f"	2	194.1	-1.50820935021564	0.928445903656583
"BH-01737"	"WRB"	1130	"BW high saline|warm"	"BW-resident"	"f"	3	249.1	-1.43564450066252	0.519872479447335
"BH-01737"	"WRB"	1130	"BW high saline|warm"	"BW-resident"	"f"	4	163.7	-0.865814501679437	1.18324470960417
"BH-01737"	"WRB"	1130	"BW high saline|warm"	"BW-resident"	"f"	5	143.9	-0.463942399517459	1.08617910447843
"BH-01737"	"WRB"	1130	"BW high saline|warm"	"BW-resident"	"f"	6	120.6	-0.866920320634081	1.39729056986381
