"ID"	"age"	"cohort"	"capt"	"TL_mm"	"weight_g"	"sex"	"date"	"core"	"lifeyear"	"year"	"increment_um"	"rad_um"	"total_rad_um"	"quality"
"BH-01582"	7	2013	"BEG"	830	NA	"f"	NA	124.8	2	2015	245.4	680	1422.6	3
"BH-01582"	7	2013	"BEG"	830	NA	"f"	NA	124.8	3	2016	208.6	888.6	1422.6	3
"BH-01582"	7	2013	"BEG"	830	NA	"f"	NA	124.8	4	2017	163.3	1051.9	1422.6	3
"BH-01582"	7	2013	"BEG"	830	NA	"f"	NA	124.8	5	2018	117.7	1169.6	1422.6	3
"BH-01582"	7	2013	"BEG"	830	NA	"f"	NA	124.8	6	2019	116.8	1286.4	1422.6	3
"BH-01582"	7	2013	"BEG"	830	NA	"f"	NA	124.8	7	2020	136.2	1422.6	1422.6	3
"BH-01585"	10	2010	"WB"	760	NA	"m"	NA	194.7	1	2011	386.4	386.4	1646.9	3
"BH-01585"	10	2010	"WB"	760	NA	"m"	NA	194.7	2	2012	212.2	598.6	1646.9	3
"BH-01585"	10	2010	"WB"	760	NA	"m"	NA	194.7	3	2013	167.1	765.7	1646.9	3
"BH-01585"	10	2010	"WB"	760	NA	"m"	NA	194.7	4	2014	142.9	908.6	1646.9	3
"BH-01585"	10	2010	"WB"	760	NA	"m"	NA	194.7	5	2015	122.5	1031.1	1646.9	3
"BH-01585"	10	2010	"WB"	760	NA	"m"	NA	194.7	6	2016	169.1	1200.2	1646.9	3
"BH-01585"	10	2010	"WB"	760	NA	"m"	NA	194.7	7	2017	111.3	1311.5	1646.9	3
"BH-01585"	10	2010	"WB"	760	NA	"m"	NA	194.7	8	2018	102.2	1413.7	1646.9	3
"BH-01585"	10	2010	"WB"	760	NA	"m"	NA	194.7	9	2019	101.4	1515.1	1646.9	3
"BH-01585"	10	2010	"WB"	760	NA	"m"	NA	194.7	10	2020	131.8	1646.9	1646.9	3
"BH-01588"	10	2010	"KJB"	1050	NA	"f"	NA	175.4	1	2011	437.7	437.7	1774	3
"BH-01588"	10	2010	"KJB"	1050	NA	"f"	NA	175.4	2	2012	214.4	652.1	1774	3
